word_count,expert_estimated_effort,actual_effort,complexity_class,task_type
39,0,18000,,coding
4,0,4200,,general
59,0,10200,,coding
9,0,16800,,general
18,0,6600,,general
8,0,9600,,general
31,259200,26400,5,general
16,0,32400,,general
11,0,27000,,writing
16,0,14400,,coding
24,0,42000,,general
22,0,4200,,general
22,0,4800,,general
70,0,9000,,coding
58,0,2400,,general
47,0,6000,,coding
8,0,9000,,general
73,0,39000,,general
22,0,3600,,general
96,0,54000,,writing
24,0,40200,,general
149,0,39600,,reading
9,0,15600,,general
7,0,4200,,writing
14,0,10800,,reading
58,0,16800,,writing
34,0,1200,,coding
81,0,2400,,coding
31,0,3000,,general
48,0,3000,,general
48,0,3600,,general
156,0,7200,,coding
66,0,20400,,coding
15,0,4200,,general
153,0,10800,,coding
71,0,7800,,coding
52,0,20400,,coding
30,0,7800,,coding
50,0,4200,,general
19,0,15000,,general
4,0,3600,,coding
9,0,8400,,general
37,0,22800,,general
92,0,4200,,writing
73,0,4800,,coding
14,0,10200,,reading
63,0,4200,,reading
13,0,7800,,general
48,0,3600,,coding
19,0,15600,,coding
73,0,5400,,coding
126,0,3000,,problem solving
435,0,3000,,coding
23,0,4200,,reading
17,0,7200,,coding
3,0,2400,,general
5,0,2400,,general
6,0,9000,,reading
8,0,24000,,general
9,0,7200,,general
11,0,11400,,general
10,0,79200,,general
6,0,44400,,general
8,0,30000,,coding
9,0,11400,,general
15,0,25200,,general
16,0,1800,,coding
3,0,6600,,general
19,0,3000,,general
60,0,3000,,review
74,0,1800,,coding
30,0,3600,,writing
15,0,48600,,general
6,0,46200,,general
19,0,3600,,general
35,0,30000,,coding
26,0,2400,,coding
65,0,13200,,general
12,0,43200,,general
35,0,31800,,coding
56,0,3600,,writing
95,0,14400,,writing
27,0,4800,,general
21,0,2400,,reading
50,0,1200,,general
55,0,27000,,coding
44,0,7800,,reading
38,0,29400,,general
8,0,5400,,general
39,0,4200,,general
85,0,4200,,coding
55,0,15600,,writing
106,0,9600,,coding
85,0,7800,,reading
8,0,11400,,general
132,0,7200,,coding
14,0,6000,,general
61,0,5400,,writing
79,0,37200,,coding
18,0,6000,,general
56,0,4800,,writing
204,0,9600,,coding
25,0,13200,,coding
143,0,4200,,coding
144,0,1200,,coding
144,0,1200,,coding
144,0,1200,,coding
144,0,1200,,coding
144,0,1200,,coding
144,0,1200,,coding
144,0,3000,,coding
144,0,19800,,coding
144,0,1200,,coding
144,0,1200,,coding
144,0,1200,,coding
149,0,4800,,coding
144,0,6600,,coding
143,0,1200,,coding
155,0,1200,,coding
144,0,1200,,coding
144,0,1200,,coding
144,0,1200,,coding
144,0,1200,,coding
29,0,22200,,general
71,0,3000,,general
34,0,16800,,general
144,0,9000,,coding
143,0,6000,,coding
143,0,10200,,coding
143,0,1800,,coding
143,0,3000,,coding
143,0,5400,,coding
143,0,4800,,coding
143,0,2400,,coding
142,0,3000,,coding
143,0,10200,,coding
148,0,2400,,coding
142,0,3000,,coding
143,0,13800,,coding
143,0,5400,,coding
143,0,3000,,coding
142,0,3600,,coding
142,0,3600,,coding
142,0,1800,,coding
142,0,1200,,coding
142,0,1800,,coding
142,0,9000,,coding
45,0,315600,,general
8,0,5400,,coding
8,0,14400,,general
17,0,28800,,general
44,0,56400,,reading
44,0,11400,,coding
36,0,31200,,general
72,0,3000,,coding
241,0,4800,,coding
35,0,2400,,general
48,0,3600,,reading
59,0,34800,,coding
8,0,3000,,general
18,0,12000,,coding
19,0,3600,,general
29,0,9600,,coding
67,0,16200,,coding
77,0,1200,,general
155,0,10800,,reading
7,0,5400,,general
73,0,19800,,writing
79,0,8400,,reading
43,0,3000,,general
35,0,11400,,review
33,0,1800,,review
110,0,4200,,coding
24,0,27600,,coding
53,0,6000,,coding
57,0,5400,,coding
24,0,11400,,coding
26,0,42600,,reading
19,0,5400,,general
32,0,1800,,coding
195,0,4800,,coding
120,0,2400,,coding
79,0,10200,,coding
16,0,8400,,coding
40,0,4800,,general
95,0,69600,,writing
59,0,40800,,coding
31,0,2400,,general
37,0,4800,,coding
10,0,1200,,coding
125,0,7200,,coding
6,0,1800,,general
54,0,3600,,coding
9,0,1800,,general
44,0,1800,,coding
26,0,1200,,general
36,0,7800,,coding
19,0,7200,,writing
12,0,1200,,coding
190,0,1200,,coding
41,0,3600,,general
8,0,3000,,writing
103,0,4200,,reading
67,0,1800,,coding
7,0,52800,,general
60,0,4200,,coding
24,0,4200,,general
6,0,4200,,writing
22,0,1800,,general
85,0,1800,,coding
55,0,4800,,coding
21,0,1800,,coding
52,0,3000,,coding
50,0,1800,,coding
100,0,4800,,coding
70,0,11400,,coding
827,0,54600,,coding
180,0,19200,,coding
121,0,4800,,coding
69,0,43800,,coding
14,0,3000,,coding
19,0,5400,,coding
75,0,8400,,coding
24,0,6600,,writing
234,0,2400,,coding
34,0,14400,,coding
12,0,2400,,writing
24,0,25800,,general
32,0,1200,,coding
6,0,1200,,general
4,0,3600,,general
26,0,2400,,coding
67,0,6000,,coding
24,0,3000,,coding
52,0,3600,,general
44,0,3600,,coding
110,0,2400,,coding
52,0,23400,,coding
7,0,2400,,general
33,0,1800,,coding
18,0,2400,,general
47,0,6000,,coding
20,0,1800,,general
39,0,1800,,general
28,0,14400,,coding
63,0,4800,,coding
44,0,3000,,coding
56,0,3600,,coding
3,0,5400,,general
41,0,1800,,general
88,0,7800,,general
86,0,1800,,reading
120,0,1800,,reading
105,0,4200,,coding
8,0,4800,,general
30,0,3600,,general
16,0,5400,,coding
21,0,1800,,general
49,0,54600,,coding
6,0,3600,,coding
6,0,2400,,coding
110,0,6600,,coding
26,0,7200,,general
6,0,2400,,coding
36,0,5400,,reading
33,0,3600,,general
82,0,6600,,coding
124,0,4200,,coding
47,0,4200,,coding
38,0,1800,,reading
56,0,11400,,reading
38,0,1800,,coding
6,0,1200,,coding
58,0,1200,,general
46,3600,600,2,coding
62,0,12000,,coding
27,0,3000,,coding
50,0,4800,,coding
44,0,4200,,reading
13,0,1800,,general
132,0,7200,,general
28,0,1200,,coding
46,0,3000,,coding
77,0,11400,,coding
54,0,4800,,coding
43,0,11400,,coding
705,0,1200,,coding
89,0,9600,,coding
7,0,1200,,coding
6,0,1200,,coding
5,0,1800,,general
6,0,1200,,general
144,0,4800,,coding
31,0,1800,,problem solving
11,0,600,,general
8,0,600,,general
33,0,1200,,coding
31,0,3000,,general
37,0,3600,,general
22,0,12600,,coding
9,0,3600,,general
23,0,14400,,review
49,0,2400,,coding
11,0,2400,,research
108,0,1800,,coding
33,0,1800,,general
85,0,1800,,coding
8,0,1800,,general
35,0,6600,,general
209,0,16200,,writing
129,0,5400,,general
26,0,1800,,general
40,0,1800,,general
103,0,1800,,general
55,0,1800,,general
79,0,1800,,review
31,0,1800,,coding
101,0,9000,,coding
63,0,1800,,coding
54,0,1800,,general
67,0,6000,,general
63,0,2400,,general
52,0,3000,,general
9,0,1800,,general
41,0,1800,,review
19,0,1800,,general
80,0,4200,,writing
38,0,4200,,coding
82,0,6000,,review
24,0,1800,,general
51,0,1800,,general
39,0,1800,,coding
86,0,3000,,general
4,0,4800,,general
116,0,1800,,review
52,0,3000,,writing
46,0,7800,,general
193,0,1800,,reading
118,0,3000,,reading
10,0,1800,,general
67,0,4200,,review
9,0,1800,,general
201,0,1800,,coding
29,0,1800,,coding
33,0,7200,,general
52,0,5400,,reading
16,0,4200,,general
18,0,1800,,general
67,0,6600,,reading
98,0,1800,,coding
16,0,4200,,general
100,0,3600,,coding
18,0,5400,,general
54,0,1800,,general
1502,0,1800,,coding
63,0,1800,,general
16,0,9000,,general
26,0,1800,,general
96,0,1800,,coding
32,0,3000,,coding
14,0,1800,,general
91,0,1800,,coding
9,0,1800,,coding
23,0,8400,,general
30,0,1800,,general
37,0,4800,,general
185,259200,5400,5,coding
6,0,1800,,general
206,0,3000,,reading
3,0,3000,,general
1,0,1800,,general
83,0,3600,,general
29,0,10800,,general
43,0,3000,,general
171,0,6600,,coding
7,0,2400,,writing
31,0,1800,,coding
23,0,3600,,general
36,0,1800,,review
58,0,4200,,general
6,0,2400,,general
32,0,1800,,general
41,0,1800,,general
55,0,1800,,general
22,0,1800,,general
45,0,5400,,general
13,0,1800,,coding
64,0,2400,,review
131,0,1800,,general
44,0,4200,,coding
10,0,3000,,research
30,0,1800,,general
138,0,5400,,coding
86,0,1800,,coding
52,0,1800,,general
40,0,1800,,general
74,172800,330120,5,research
11,0,1800,,research
88,0,2400,,coding
27,0,7200,,research
21,0,1800,,research
106,0,1800,,coding
4,0,1800,,review
4,0,1200,,research
12,0,1800,,general
170,129600,267600,5,research
68,0,1800,,research
47,0,1800,,general
81,0,4200,,general
42,0,1800,,general
48,0,1800,,general
15,0,3600,,coding
6,0,1800,,general
23,0,1800,,general
237,0,4800,,coding
96,0,1800,,coding
31,0,1800,,problem solving
25,0,1800,,review
7,0,3000,,review
16,0,1800,,general
39,0,2400,,general
26,0,1800,,review
44,0,3600,,coding
9,0,1800,,research
80,0,3000,,coding
34,0,1800,,review
21,0,1800,,writing
24,0,3600,,general
97,0,3600,,coding
16,0,1800,,review
7,0,7800,,general
11,0,1200,,research
66,0,21000,,review
12,0,1800,,coding
44,0,3600,,general
10,0,1800,,research
51,0,1800,,research
27,0,1200,,general
10,0,2400,,general
6,0,1800,,general
13,0,1800,,general
44,0,7800,,coding
61,0,7800,,coding
38,0,1800,,general
113,0,1800,,coding
56,0,1800,,writing
76,0,1800,,general
17,0,1800,,general
76,0,2400,,coding
24,0,1800,,general
49,0,3600,,general
22,0,1800,,general
14,0,6600,,general
25,172800,1800,5,research
189,0,12000,,coding
34,0,2400,,general
140,0,21600,,coding
24,0,1200,,coding
74,0,1800,,problem solving
65,0,1800,,reading
61,0,1800,,coding
39,0,3000,,writing
154,0,3600,,coding
45,0,3600,,review
51,0,3600,,coding
34,0,1800,,general
23,0,1800,,general
16,0,2400,,coding
95,0,1800,,coding
71,0,600,,review
163,0,1800,,problem solving
79,0,3600,,coding
78,7200,9000,3,research
9,0,3600,,general
79,43200,12600,5,research
54,0,1800,,general
78,0,1800,,general
9,0,4800,,general
37,0,1800,,review
6,0,1800,,general
26,0,1800,,general
29,0,1800,,review
73,0,4800,,general
211,0,1800,,coding
63,0,1800,,writing
19,0,1800,,general
24,86400,4200,5,research
33,0,1800,,general
96,0,1800,,reading
138,0,1800,,coding
156,0,1800,,coding
5,0,1200,,coding
54,10800,14400,3,review
73,0,89400,,research
54,0,1800,,coding
35,0,1800,,general
15,0,3600,,general
23,0,3000,,general
50,0,1800,,coding
60,0,1800,,problem solving
173,0,1800,,coding
12,0,4200,,general
27,0,7200,,general
13,0,2400,,general
57,0,4800,,general
33,0,2400,,general
228,0,1800,,coding
28,0,4200,,general
17,0,3600,,coding
63,0,4200,,coding
31,0,2400,,coding
8,0,1800,,general
180,0,3600,,review
16,0,1800,,general
210,0,11400,,reading
11,0,1800,,general
41,0,5400,,general
194,0,2400,,general
7,0,1800,,research
51,0,1800,,general
14,0,1800,,reading
26,0,4800,,general
41,0,1800,,reading
123,0,5400,,coding
107,0,1800,,general
70,0,1800,,general
91,0,1800,,review
32,0,1800,,general
35,0,1800,,general
28,0,1800,,general
83,0,1800,,reading
83,0,1800,,reading
26,0,1800,,coding
120,0,9600,,coding
36,0,3600,,coding
13,0,6000,,coding
69,0,1800,,general
197,0,1800,,coding
79,0,2400,,coding
39,0,2400,,general
28,0,1800,,general
47,0,4200,,coding
42,0,3600,,general
53,0,1800,,reading
11,0,2400,,general
17,0,7200,,coding
30,172800,172800,5,research
38,0,2400,,general
34,0,6600,,coding
315,0,3000,,coding
39,0,1800,,general
102,0,5400,,coding
21,0,1800,,general
51,0,1800,,general
9,0,1800,,general
69,0,1800,,general
7,0,3000,,general
41,0,10800,,coding
31,0,1800,,coding
42,0,1800,,general
60,0,1800,,coding
51,0,1800,,general
10,0,2400,,general
92,0,600,,coding
45,0,2400,,general
45,0,3000,,general
12,0,10200,,general
75,0,11400,,general
80,0,1800,,coding
21,0,2400,,general
6,0,1800,,general
24,0,1800,,review
77,0,2400,,reading
22,0,4200,,general
129,0,1800,,coding
26,0,1800,,general
231,0,5400,,general
11,0,3000,,research
193,0,10200,,coding
49,172800,217800,5,research
45,0,12000,,general
8,0,2400,,general
6,0,1800,,general
74,0,2400,,general
90,0,1800,,coding
28,0,1800,,general
137,0,3600,,review
46,0,9000,,coding
20,0,1800,,general
112,0,10800,,coding
21,0,5400,,general
15,0,1800,,general
29,0,3000,,coding
27,0,1800,,research
74,0,1800,,general
79,0,46200,,writing
86,0,89400,,research
101,0,88200,,research
188,0,4200,,coding
124,0,1800,,coding
108,0,1800,,general
74,0,3600,,research
64,0,2400,,writing
15,0,2400,,general
8,0,1800,,review
66,129600,1800,5,writing
81,0,22200,,general
109,0,7200,,coding
59,0,7800,,coding
7,0,1800,,general
34,0,3000,,coding
53,0,10200,,coding
74,0,1800,,coding
31,0,3000,,general
66,0,10800,,review
20,0,600,,general
118,0,6000,,general
76,0,14400,,coding
38,0,3600,,general
154,0,7200,,coding
16,0,5400,,general
227,0,1800,,coding
74,0,600,,writing
15,0,1200,,general
83,0,6600,,reading
74,0,3600,,coding
146,0,1800,,coding
274,0,3000,,reading
111,0,2400,,review
56,0,2400,,review
33,0,4800,,general
44,0,4200,,research
38,0,8400,,general
165,0,7200,,coding
10,0,9600,,coding
60,0,3000,,coding
108,0,16200,,reading
36,0,10200,,general
21,0,3000,,general
43,0,4800,,reading
29,0,4800,,general
214,0,4800,,reading
59,0,1800,,general
43,0,2400,,general
37,0,14400,,problem solving
79,0,4200,,coding
30,0,3600,,writing
32,0,2400,,coding
41,0,1200,,general
165,0,3000,,coding
1149,0,3000,,coding
72,0,4800,,review
44,0,1200,,general
34,0,2400,,review
67,0,1800,,coding
56,0,4200,,coding
34,0,13800,,review
45,0,6600,,general
78,0,3600,,coding
97,0,600,,coding
91,0,1200,,writing
168,0,1800,,coding
68,0,1200,,writing
50,0,1800,,writing
8,0,1200,,coding
34,0,1200,,research
67,0,1200,,writing
95,0,3600,,writing
25,0,1200,,coding
51,0,6000,,general
54,0,1200,,coding
22,0,1800,,coding
49,0,1200,,general
147,0,18000,,general
18,0,1200,,reading
180,900,27000,1,coding
17,0,10800,,writing
45,0,3000,,coding
131,0,11400,,coding
203,0,3000,,coding
83,0,1800,,review
34,0,7200,,writing
155,0,4800,,coding
68,0,1200,,coding
133,0,1200,,coding
78,0,6600,,coding
116,0,6000,,coding
159,0,3000,,general
225,0,1200,,coding
20,0,1200,,general
55,0,9600,,general
67,0,27600,,general
56,0,21000,,reading
90,0,19800,,coding
81,0,4800,,general
65,0,5400,,coding
203,0,5400,,coding
42,0,3600,,general
772,0,3600,,coding
873,0,6000,,coding
69,0,1200,,coding
57,0,2400,,general
267,0,1800,,writing
33,0,1800,,reading
42,0,3600,,coding
255,0,2400,,coding
37,0,14400,,coding
25,0,4200,,general
98,0,1200,,coding
122,0,28200,,coding
23,0,35400,,coding
4,0,37200,,general
3,0,21600,,general
8,0,24600,,general
5,0,32400,,general
4,0,50400,,general
7,0,15600,,general
6,0,15600,,coding
8,0,4200,,general
7,0,9600,,general
8,0,3000,,general
10,0,3000,,general
5,0,40800,,coding
31,0,1800,,general
6,0,11400,,general
7,0,2400,,general
4,0,3000,,general
2,0,3000,,problem solving
2,0,23400,,general
4,0,15600,,problem solving
2,0,20400,,general
7,0,17400,,general
11,0,5400,,general
20,0,7200,,general
18,0,5400,,coding
13,0,2400,,coding
7,0,1200,,general
6,0,6000,,general
22,0,1800,,problem solving
34,0,2400,,general
145,0,7800,,problem solving
4,0,2400,,general
6,0,17400,,general
17,0,29400,,writing
6,0,13200,,general
7,0,29400,,coding
3,0,4800,,coding
10,0,3600,,general
21,0,22200,,general
10,0,4200,,general
4,0,22200,,general
22,0,2400,,general
6,0,1200,,general
7,0,6600,,coding
5,0,1800,,general
10,0,3000,,coding
6,0,4800,,coding
4,0,15600,,general
16,0,12600,,general
11,0,1800,,general
8,0,6000,,general
9,0,1800,,general
10,0,1200,,general
4,0,1800,,general
6,0,1800,,general
9,0,40200,,general
30,0,4800,,general
5,0,4800,,general
399,0,9600,,coding
5,0,1800,,coding
32,0,110400,,general
15,0,14400,,general
10,0,3600,,coding
6,0,3000,,general
7,0,7800,,general
7,0,8400,,general
5,0,1800,,coding
7,0,3600,,general
3,0,4800,,general
9,0,3000,,general
6,0,4800,,general
5,0,3000,,general
19,0,1200,,reading
17,0,1800,,coding
9,0,1800,,reading
13,0,4800,,general
4,0,2400,,general
3,0,21600,,general
7,0,12600,,general
8,0,8400,,general
5,0,12000,,general
7,0,5400,,general
4,0,17400,,general
25,0,600,,general
24,0,10800,,coding
9,0,3000,,general
14,0,600,,coding
88,0,2400,,coding
3,0,14400,,general
5,0,47400,,general
142,0,3600,,coding
108,0,1200,,coding
58,0,3000,,coding
73,0,2400,,general
118,86400,1200,5,coding
121,0,20400,,coding
14,0,1200,,review
23,115200,36900,5,general
87,0,6000,,coding
38,0,4320,,coding
54,0,600,,coding
25,0,1200,,general
37,0,600,,general
165,0,600,,coding
55,0,1200,,coding
6,0,43200,,general
23,259200,43200,5,coding
162,0,1200,,coding
43,0,1800,,general
91,0,4800,,coding
299,0,2400,,coding
81,0,2400,,writing
43,0,1200,,general
30,0,7200,,general
86,0,1800,,general
158,0,1200,,reading
35,0,1800,,coding
81,0,24000,,reading
35,0,1200,,general
45,0,2400,,review
67,0,3000,,coding
70,0,1800,,coding
45,0,2400,,coding
7,0,1200,,general
128,0,2400,,coding
13,0,1200,,coding
17,0,2400,,general
26,0,1200,,general
15,0,1800,,general
94,0,3000,,general
36,0,3600,,general
23,0,2400,,general
18,0,7800,,general
24,0,1200,,coding
25,0,1200,,general
83,0,5400,,general
250,0,2400,,coding
71,0,1200,,coding
56,0,1200,,coding
96,0,1800,,reading
44,0,1200,,general
55,0,1200,,general
11,0,1800,,writing
57,0,6000,,general
30,0,1200,,general
155,0,1200,,coding
22,0,2400,,general
64,0,3600,,general
208,0,1800,,review
45,0,2400,,research
31,0,1200,,coding
33,0,3600,,general
33,0,9000,,general
28,0,2400,,general
44,0,2400,,writing
29,0,2400,,general
7,0,1200,,general
15,0,3600,,general
57,0,1800,,general
64,0,3000,,reading
22,0,8400,,general
91,0,1200,,coding
53,0,1200,,coding
226,0,1200,,coding
84,0,8400,,review
200,0,1200,,general
35,0,1800,,general
116,0,6600,,coding
53,0,3600,,general
36,0,1200,,general
103,0,1200,,coding
103,0,1200,,coding
57,0,3000,,general
63,0,1200,,coding
26,0,1200,,general
19,0,4800,,general
37,0,2400,,coding
90,0,4800,,writing
100,0,13200,,coding
5,0,3600,,general
58,0,1800,,general
30,0,1200,,reading
17,0,6600,,coding
36,0,2400,,coding
49,0,1200,,writing
47,0,4200,,reading
22,0,8400,,general
6,0,3600,,coding
6,0,3600,,general
6,0,3000,,general
5,0,12000,,coding
43,0,15000,,general
5,0,1200,,general
5,0,3000,,general
5,0,1200,,general
3,0,2400,,general
5,0,1200,,general
5,0,1200,,general
5,0,1800,,general
96,0,10200,,writing
86,0,2400,,writing
46,0,3000,,general
49,0,1200,,writing
125,0,1800,,general
5,0,4200,,general
60,0,1800,,coding
487,0,13800,,coding
178,0,1800,,reading
11,0,1200,,general
21,0,600,,coding
90,0,1200,,coding
37,0,1200,,coding
32,0,17400,,coding
19,0,1200,,general
38,0,1200,,general
26,0,1200,,general
11,0,1800,,general
27,0,1200,,general
44,0,1800,,review
19,0,15000,,research
24,0,3000,,general
38,0,1200,,coding
70,0,2400,,general
77,0,1200,,general
91,0,13200,,coding
54,0,3000,,research
198,0,5400,,coding
210,0,3000,,reading
157,0,2400,,reading
55,0,1200,,coding
50,0,15000,,general
5,0,3000,,general
6,0,12000,,general
7,0,4200,,general
33,0,1200,,general
19,0,3000,,general
